"Step","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/Dice","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/Dice__MIN","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/Dice__MAX"
"2","0.6495958566665649","0.6495958566665649","0.6495958566665649"
"6","0.20325462520122528","0.20325462520122528","0.20325462520122528"
"10","0.6758065223693848","0.6758065223693848","0.6758065223693848"
"14","0.7892641425132751","0.7892641425132751","0.7892641425132751"
"18","0.7957862615585327","0.7957862615585327","0.7957862615585327"
"22","0.7823344469070435","0.7823344469070435","0.7823344469070435"
"26","0.8364512324333191","0.8364512324333191","0.8364512324333191"
"30","0.7761755585670471","0.7761755585670471","0.7761755585670471"
"34","0.8321056962013245","0.8321056962013245","0.8321056962013245"
"38","0.816323459148407","0.816323459148407","0.816323459148407"
"42","0.7760189175605774","0.7760189175605774","0.7760189175605774"
"46","0.8163365125656128","0.8163365125656128","0.8163365125656128"
"50","0.8363139033317566","0.8363139033317566","0.8363139033317566"
"54","0.8502111434936523","0.8502111434936523","0.8502111434936523"
"58","0.8390321135520935","0.8390321135520935","0.8390321135520935"
"62","0.8251634240150452","0.8251634240150452","0.8251634240150452"
"66","0.862435519695282","0.862435519695282","0.862435519695282"
"70","0.5444251894950867","0.5444251894950867","0.5444251894950867"
"74","0.6930879950523376","0.6930879950523376","0.6930879950523376"
"78","0.81508469581604","0.81508469581604","0.81508469581604"
"82","0.8746837973594666","0.8746837973594666","0.8746837973594666"
"86","0.7431270480155945","0.7431270480155945","0.7431270480155945"
"90","0.8927952647209167","0.8927952647209167","0.8927952647209167"
"94","0.8705989122390747","0.8705989122390747","0.8705989122390747"
"98","0.8770065307617188","0.8770065307617188","0.8770065307617188"
"102","0.8561272025108337","0.8561272025108337","0.8561272025108337"
"106","0.9007959961891174","0.9007959961891174","0.9007959961891174"
"110","0.906616747379303","0.906616747379303","0.906616747379303"
"114","0.9260215163230896","0.9260215163230896","0.9260215163230896"
"118","0.8972954750061035","0.8972954750061035","0.8972954750061035"
"122","0.8672502040863037","0.8672502040863037","0.8672502040863037"
"126","0.9195515513420105","0.9195515513420105","0.9195515513420105"
"130","0.8093809485435486","0.8093809485435486","0.8093809485435486"
"134","0.8907362818717957","0.8907362818717957","0.8907362818717957"
"138","0.9175523519515991","0.9175523519515991","0.9175523519515991"
"142","0.8655040264129639","0.8655040264129639","0.8655040264129639"
"146","0.9286827445030212","0.9286827445030212","0.9286827445030212"
"150","0.8904428482055664","0.8904428482055664","0.8904428482055664"
"154","0.9183342456817627","0.9183342456817627","0.9183342456817627"
"158","0.9076513051986694","0.9076513051986694","0.9076513051986694"
"162","0.8795369267463684","0.8795369267463684","0.8795369267463684"
"166","0.8873130679130554","0.8873130679130554","0.8873130679130554"
"170","0.8917384147644043","0.8917384147644043","0.8917384147644043"
"174","0.9277248382568359","0.9277248382568359","0.9277248382568359"
"178","0.9362175464630127","0.9362175464630127","0.9362175464630127"
"182","0.8737162351608276","0.8737162351608276","0.8737162351608276"
"186","0.8625606894493103","0.8625606894493103","0.8625606894493103"
"190","0.928723156452179","0.928723156452179","0.928723156452179"
"194","0.8960463404655457","0.8960463404655457","0.8960463404655457"
"198","0.9279306530952454","0.9279306530952454","0.9279306530952454"
"202","0.925634503364563","0.925634503364563","0.925634503364563"
"206","0.915421724319458","0.915421724319458","0.915421724319458"
"210","0.9120298027992249","0.9120298027992249","0.9120298027992249"
"214","0.9137295484542847","0.9137295484542847","0.9137295484542847"
"218","0.923532247543335","0.923532247543335","0.923532247543335"
"222","0.8890283703804016","0.8890283703804016","0.8890283703804016"
"226","0.8930685520172119","0.8930685520172119","0.8930685520172119"
"230","0.5950848460197449","0.5950848460197449","0.5950848460197449"
"234","0.8701959848403931","0.8701959848403931","0.8701959848403931"
"238","0.8788837790489197","0.8788837790489197","0.8788837790489197"
"242","0.9278252720832825","0.9278252720832825","0.9278252720832825"
"246","0.9107732176780701","0.9107732176780701","0.9107732176780701"
"250","0.9256905913352966","0.9256905913352966","0.9256905913352966"
"254","0.9274598360061646","0.9274598360061646","0.9274598360061646"
"258","0.8986300230026245","0.8986300230026245","0.8986300230026245"
"262","0.9325726628303528","0.9325726628303528","0.9325726628303528"
"266","0.9318895936012268","0.9318895936012268","0.9318895936012268"
"270","0.9271653890609741","0.9271653890609741","0.9271653890609741"
"274","0.9237019419670105","0.9237019419670105","0.9237019419670105"
"278","0.9337307810783386","0.9337307810783386","0.9337307810783386"
"282","0.9133923053741455","0.9133923053741455","0.9133923053741455"
"286","0.9171239137649536","0.9171239137649536","0.9171239137649536"
"290","0.911876916885376","0.911876916885376","0.911876916885376"
"294","0.9111669063568115","0.9111669063568115","0.9111669063568115"
"298","0.9235034584999084","0.9235034584999084","0.9235034584999084"
"302","0.8995907306671143","0.8995907306671143","0.8995907306671143"
"306","0.9323601126670837","0.9323601126670837","0.9323601126670837"
"310","0.9294336438179016","0.9294336438179016","0.9294336438179016"
"314","0.9438391327857971","0.9438391327857971","0.9438391327857971"
"318","0.9112434983253479","0.9112434983253479","0.9112434983253479"
"322","0.9207736253738403","0.9207736253738403","0.9207736253738403"
"326","0.929807186126709","0.929807186126709","0.929807186126709"
"330","0.9360969662666321","0.9360969662666321","0.9360969662666321"
"334","0.9201310276985168","0.9201310276985168","0.9201310276985168"
"338","0.9220505952835083","0.9220505952835083","0.9220505952835083"
"342","0.940636157989502","0.940636157989502","0.940636157989502"
"346","0.9447952508926392","0.9447952508926392","0.9447952508926392"
"350","0.9255563020706177","0.9255563020706177","0.9255563020706177"
"354","0.9432145953178406","0.9432145953178406","0.9432145953178406"
"358","0.9472004175186157","0.9472004175186157","0.9472004175186157"
"362","0.9124981164932251","0.9124981164932251","0.9124981164932251"
"366","0.9362499117851257","0.9362499117851257","0.9362499117851257"
"370","0.9213771820068359","0.9213771820068359","0.9213771820068359"
"374","0.9358294606208801","0.9358294606208801","0.9358294606208801"
"378","0.9449503421783447","0.9449503421783447","0.9449503421783447"
"382","0.9335503578186035","0.9335503578186035","0.9335503578186035"
"386","0.9439989328384399","0.9439989328384399","0.9439989328384399"
"390","0.9340389370918274","0.9340389370918274","0.9340389370918274"
"394","0.8943677544593811","0.8943677544593811","0.8943677544593811"
"398","0.936119556427002","0.936119556427002","0.936119556427002"
"402","0.8991542458534241","0.8991542458534241","0.8991542458534241"
"406","0.9374135732650757","0.9374135732650757","0.9374135732650757"
"410","0.9116607308387756","0.9116607308387756","0.9116607308387756"
"414","0.9344207644462585","0.9344207644462585","0.9344207644462585"
"418","0.9360668063163757","0.9360668063163757","0.9360668063163757"
"422","0.946495771408081","0.946495771408081","0.946495771408081"
"426","0.900004506111145","0.900004506111145","0.900004506111145"
"430","0.9287706613540649","0.9287706613540649","0.9287706613540649"
"434","0.9372592568397522","0.9372592568397522","0.9372592568397522"
"438","0.9422019124031067","0.9422019124031067","0.9422019124031067"
"442","0.9394683837890625","0.9394683837890625","0.9394683837890625"
"446","0.9363812208175659","0.9363812208175659","0.9363812208175659"
"450","0.9367285966873169","0.9367285966873169","0.9367285966873169"
"454","0.9464571475982666","0.9464571475982666","0.9464571475982666"
"458","0.9341245889663696","0.9341245889663696","0.9341245889663696"
"462","0.9336848855018616","0.9336848855018616","0.9336848855018616"
"466","0.7556171417236328","0.7556171417236328","0.7556171417236328"
"470","0.9307693243026733","0.9307693243026733","0.9307693243026733"
"474","0.9217652678489685","0.9217652678489685","0.9217652678489685"
"478","0.940333902835846","0.940333902835846","0.940333902835846"
"482","0.9410496950149536","0.9410496950149536","0.9410496950149536"
"486","0.9327769875526428","0.9327769875526428","0.9327769875526428"
"490","0.945227324962616","0.945227324962616","0.945227324962616"
"494","0.9446994066238403","0.9446994066238403","0.9446994066238403"
"498","0.9289803504943848","0.9289803504943848","0.9289803504943848"
