"Step","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/loss","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/loss__MIN","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/loss__MAX"
"151","0.33479252457618713","0.33479252457618713","0.33479252457618713"
"155","0.2367878407239914","0.2367878407239914","0.2367878407239914"
"159","0.27355116605758667","0.27355116605758667","0.27355116605758667"
"163","0.3807639181613922","0.3807639181613922","0.3807639181613922"
"167","0.325329065322876","0.325329065322876","0.325329065322876"
"171","0.28765204548835754","0.28765204548835754","0.28765204548835754"
"175","0.23266559839248657","0.23266559839248657","0.23266559839248657"
"179","0.20270778238773346","0.20270778238773346","0.20270778238773346"
"183","0.33267417550086975","0.33267417550086975","0.33267417550086975"
"187","0.4514612555503845","0.4514612555503845","0.4514612555503845"
"191","0.21678359806537628","0.21678359806537628","0.21678359806537628"
"195","0.2953469157218933","0.2953469157218933","0.2953469157218933"
"199","0.2194240540266037","0.2194240540266037","0.2194240540266037"
"203","0.22205179929733276","0.22205179929733276","0.22205179929733276"
"207","0.25555288791656494","0.25555288791656494","0.25555288791656494"
"211","0.262912780046463","0.262912780046463","0.262912780046463"
"215","0.25838860869407654","0.25838860869407654","0.25838860869407654"
"219","0.23563005030155182","0.23563005030155182","0.23563005030155182"
"223","0.34119394421577454","0.34119394421577454","0.34119394421577454"
"227","0.35831016302108765","0.35831016302108765","0.35831016302108765"
"231","0.7236038446426392","0.7236038446426392","0.7236038446426392"
"235","0.4018431603908539","0.4018431603908539","0.4018431603908539"
"239","0.3056040406227112","0.3056040406227112","0.3056040406227112"
"243","0.22572344541549683","0.22572344541549683","0.22572344541549683"
"247","0.27641940116882324","0.27641940116882324","0.27641940116882324"
"251","0.21769830584526062","0.21769830584526062","0.21769830584526062"
"255","0.22843483090400696","0.22843483090400696","0.22843483090400696"
"259","0.2861618399620056","0.2861618399620056","0.2861618399620056"
"263","0.21813908219337463","0.21813908219337463","0.21813908219337463"
"267","0.21465261280536652","0.21465261280536652","0.21465261280536652"
"271","0.22634699940681458","0.22634699940681458","0.22634699940681458"
"275","0.23671765625476837","0.23671765625476837","0.23671765625476837"
"279","0.2052491456270218","0.2052491456270218","0.2052491456270218"
"283","0.24925346672534943","0.24925346672534943","0.24925346672534943"
"287","0.24449080228805542","0.24449080228805542","0.24449080228805542"
"291","0.28467032313346863","0.28467032313346863","0.28467032313346863"
"295","0.3008953928947449","0.3008953928947449","0.3008953928947449"
"299","0.2251555621623993","0.2251555621623993","0.2251555621623993"
"303","0.2611531615257263","0.2611531615257263","0.2611531615257263"
"307","0.20342174172401428","0.20342174172401428","0.20342174172401428"
"311","0.21304303407669067","0.21304303407669067","0.21304303407669067"
"315","0.1890837699174881","0.1890837699174881","0.1890837699174881"
"319","0.25676828622817993","0.25676828622817993","0.25676828622817993"
"323","0.2219003140926361","0.2219003140926361","0.2219003140926361"
"327","0.20993733406066895","0.20993733406066895","0.20993733406066895"
"331","0.20740005373954773","0.20740005373954773","0.20740005373954773"
"335","0.22616377472877502","0.22616377472877502","0.22616377472877502"
"339","0.22251185774803162","0.22251185774803162","0.22251185774803162"
"343","0.19337138533592224","0.19337138533592224","0.19337138533592224"
"347","0.17925488948822021","0.17925488948822021","0.17925488948822021"
"351","0.22996385395526886","0.22996385395526886","0.22996385395526886"
"355","0.1803784966468811","0.1803784966468811","0.1803784966468811"
"359","0.16963253915309906","0.16963253915309906","0.16963253915309906"
"363","0.27648213505744934","0.27648213505744934","0.27648213505744934"
"367","0.19689424335956573","0.19689424335956573","0.19689424335956573"
"371","0.22912780940532684","0.22912780940532684","0.22912780940532684"
"375","0.20344583690166473","0.20344583690166473","0.20344583690166473"
"379","0.17674508690834045","0.17674508690834045","0.17674508690834045"
"383","0.19773969054222107","0.19773969054222107","0.19773969054222107"
"387","0.18121325969696045","0.18121325969696045","0.18121325969696045"
"391","0.20031099021434784","0.20031099021434784","0.20031099021434784"
"395","0.3438243567943573","0.3438243567943573","0.3438243567943573"
"399","0.20254389941692352","0.20254389941692352","0.20254389941692352"
"403","0.2823207378387451","0.2823207378387451","0.2823207378387451"
"407","0.19331952929496765","0.19331952929496765","0.19331952929496765"
"411","0.25873491168022156","0.25873491168022156","0.25873491168022156"
"415","0.20318882167339325","0.20318882167339325","0.20318882167339325"
"419","0.20565426349639893","0.20565426349639893","0.20565426349639893"
"423","0.17339830100536346","0.17339830100536346","0.17339830100536346"
"427","0.31262481212615967","0.31262481212615967","0.31262481212615967"
"431","0.21373388171195984","0.21373388171195984","0.21373388171195984"
"435","0.1917632669210434","0.1917632669210434","0.1917632669210434"
"439","0.18152493238449097","0.18152493238449097","0.18152493238449097"
"443","0.190555140376091","0.190555140376091","0.190555140376091"
"447","0.19721698760986328","0.19721698760986328","0.19721698760986328"
"451","0.19591306149959564","0.19591306149959564","0.19591306149959564"
"455","0.1757844239473343","0.1757844239473343","0.1757844239473343"
"459","0.20524278283119202","0.20524278283119202","0.20524278283119202"
"463","0.20595701038837433","0.20595701038837433","0.20595701038837433"
"467","0.6340829730033875","0.6340829730033875","0.6340829730033875"
"471","0.20505349338054657","0.20505349338054657","0.20505349338054657"
"475","0.22512413561344147","0.22512413561344147","0.22512413561344147"
"479","0.1880015879869461","0.1880015879869461","0.1880015879869461"
"483","0.18124078214168549","0.18124078214168549","0.18124078214168549"
"487","0.2099103331565857","0.2099103331565857","0.2099103331565857"
"491","0.17485880851745605","0.17485880851745605","0.17485880851745605"
"495","0.16836214065551758","0.16836214065551758","0.16836214065551758"
"499","0.22138410806655884","0.22138410806655884","0.22138410806655884"
