"Step","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/loss","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/loss__MIN","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/loss__MAX"
"3","0.6898378133773804","0.6898378133773804","0.6898378133773804"
"7","1.2685085535049438","1.2685085535049438","1.2685085535049438"
"11","0.6130692958831787","0.6130692958831787","0.6130692958831787"
"15","0.5660842061042786","0.5660842061042786","0.5660842061042786"
"19","0.53909832239151","0.53909832239151","0.53909832239151"
"23","0.563640296459198","0.563640296459198","0.563640296459198"
"27","0.444402813911438","0.444402813911438","0.444402813911438"
"31","0.5621066093444824","0.5621066093444824","0.5621066093444824"
"35","0.4632696211338043","0.4632696211338043","0.4632696211338043"
"39","0.5013647079467773","0.5013647079467773","0.5013647079467773"
"43","0.5116147398948669","0.5116147398948669","0.5116147398948669"
"47","0.49218860268592834","0.49218860268592834","0.49218860268592834"
"51","0.4575938284397125","0.4575938284397125","0.4575938284397125"
"55","0.41583240032196045","0.41583240032196045","0.41583240032196045"
"59","0.4355603754520416","0.4355603754520416","0.4355603754520416"
"63","0.4773097336292267","0.4773097336292267","0.4773097336292267"
"67","0.3842901289463043","0.3842901289463043","0.3842901289463043"
"71","0.7288224101066589","0.7288224101066589","0.7288224101066589"
"75","0.4919475018978119","0.4919475018978119","0.4919475018978119"
"79","0.45515552163124084","0.45515552163124084","0.45515552163124084"
"83","0.3681778013706207","0.3681778013706207","0.3681778013706207"
"87","0.45511600375175476","0.45511600375175476","0.45511600375175476"
"91","0.3067275881767273","0.3067275881767273","0.3067275881767273"
"95","0.3671658933162689","0.3671658933162689","0.3671658933162689"
"99","0.31782853603363037","0.31782853603363037","0.31782853603363037"
"103","0.37977802753448486","0.37977802753448486","0.37977802753448486"
"107","0.2671607434749603","0.2671607434749603","0.2671607434749603"
"111","0.275313138961792","0.275313138961792","0.275313138961792"
"115","0.2347298413515091","0.2347298413515091","0.2347298413515091"
"119","0.2808018624782562","0.2808018624782562","0.2808018624782562"
"123","0.324019193649292","0.324019193649292","0.324019193649292"
"127","0.25435760617256165","0.25435760617256165","0.25435760617256165"
"131","0.6028781533241272","0.6028781533241272","0.6028781533241272"
"135","0.3114449083805084","0.3114449083805084","0.3114449083805084"
"139","0.24431174993515015","0.24431174993515015","0.24431174993515015"
"143","0.4029354751110077","0.4029354751110077","0.4029354751110077"
"147","0.23217535018920898","0.23217535018920898","0.23217535018920898"
