"Step","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - train_epoch/loss","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - train_epoch/loss__MIN","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - train_epoch/loss__MAX"
"1","0.6385511159896851","0.6385511159896851","0.6385511159896851"
"5","0.5794605016708374","0.5794605016708374","0.5794605016708374"
"9","0.5687199234962463","0.5687199234962463","0.5687199234962463"
"13","0.5413406491279602","0.5413406491279602","0.5413406491279602"
"17","0.5333381295204163","0.5333381295204163","0.5333381295204163"
"21","0.5136040449142456","0.5136040449142456","0.5136040449142456"
"25","0.4750972092151642","0.4750972092151642","0.4750972092151642"
"29","0.44374608993530273","0.44374608993530273","0.44374608993530273"
"33","0.4219382405281067","0.4219382405281067","0.4219382405281067"
"37","0.39791321754455566","0.39791321754455566","0.39791321754455566"
"41","0.36894774436950684","0.36894774436950684","0.36894774436950684"
"45","0.3678273856639862","0.3678273856639862","0.3678273856639862"
"49","0.35760366916656494","0.35760366916656494","0.35760366916656494"
"53","0.35608136653900146","0.35608136653900146","0.35608136653900146"
"57","0.33406397700309753","0.33406397700309753","0.33406397700309753"
"61","0.3419622480869293","0.3419622480869293","0.3419622480869293"
"65","0.3364080786705017","0.3364080786705017","0.3364080786705017"
"69","0.31349244713783264","0.31349244713783264","0.31349244713783264"
"73","0.31254443526268005","0.31254443526268005","0.31254443526268005"
"77","0.30206388235092163","0.30206388235092163","0.30206388235092163"
"81","0.2995864748954773","0.2995864748954773","0.2995864748954773"
"85","0.2879105508327484","0.2879105508327484","0.2879105508327484"
"89","0.27676916122436523","0.27676916122436523","0.27676916122436523"
"93","0.2729620933532715","0.2729620933532715","0.2729620933532715"
"97","0.26279306411743164","0.26279306411743164","0.26279306411743164"
"101","0.262874037027359","0.262874037027359","0.262874037027359"
"105","0.2633554935455322","0.2633554935455322","0.2633554935455322"
"109","0.2725413739681244","0.2725413739681244","0.2725413739681244"
"113","0.2623593509197235","0.2623593509197235","0.2623593509197235"
"117","0.24774141609668732","0.24774141609668732","0.24774141609668732"
"121","0.2509731352329254","0.2509731352329254","0.2509731352329254"
"125","0.2493121176958084","0.2493121176958084","0.2493121176958084"
"129","0.24754296243190765","0.24754296243190765","0.24754296243190765"
"133","0.24713879823684692","0.24713879823684692","0.24713879823684692"
"137","0.2358214408159256","0.2358214408159256","0.2358214408159256"
"141","0.23233774304389954","0.23233774304389954","0.23233774304389954"
"145","0.22288435697555542","0.22288435697555542","0.22288435697555542"
"149","0.24527092278003693","0.24527092278003693","0.24527092278003693"
"153","0.23606140911579132","0.23606140911579132","0.23606140911579132"
"157","0.23073486983776093","0.23073486983776093","0.23073486983776093"
"161","0.22574645280838013","0.22574645280838013","0.22574645280838013"
"165","0.23283497989177704","0.23283497989177704","0.23283497989177704"
"169","0.21982011198997498","0.21982011198997498","0.21982011198997498"
"173","0.2115427404642105","0.2115427404642105","0.2115427404642105"
"177","0.2157086730003357","0.2157086730003357","0.2157086730003357"
"181","0.21501056849956512","0.21501056849956512","0.21501056849956512"
