"Step","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - train_epoch/loss","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - train_epoch/loss__MIN","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - train_epoch/loss__MAX"
"185","0.21591614186763763","0.21591614186763763","0.21591614186763763"
"189","0.216271311044693","0.216271311044693","0.216271311044693"
"193","0.20295549929141998","0.20295549929141998","0.20295549929141998"
"197","0.21463710069656372","0.21463710069656372","0.21463710069656372"
"201","0.22022303938865662","0.22022303938865662","0.22022303938865662"
"205","0.20966897904872894","0.20966897904872894","0.20966897904872894"
"209","0.20732590556144714","0.20732590556144714","0.20732590556144714"
"213","0.20271053910255432","0.20271053910255432","0.20271053910255432"
"217","0.20998074114322662","0.20998074114322662","0.20998074114322662"
"221","0.20434418320655823","0.20434418320655823","0.20434418320655823"
"225","0.19907040894031525","0.19907040894031525","0.19907040894031525"
"229","0.20031675696372986","0.20031675696372986","0.20031675696372986"
"233","0.20872996747493744","0.20872996747493744","0.20872996747493744"
"237","0.2029256820678711","0.2029256820678711","0.2029256820678711"
"241","0.2032601535320282","0.2032601535320282","0.2032601535320282"
"245","0.19757838547229767","0.19757838547229767","0.19757838547229767"
"249","0.2026320844888687","0.2026320844888687","0.2026320844888687"
"253","0.19369253516197205","0.19369253516197205","0.19369253516197205"
"257","0.19335609674453735","0.19335609674453735","0.19335609674453735"
"261","0.19347131252288818","0.19347131252288818","0.19347131252288818"
"265","0.18795284628868103","0.18795284628868103","0.18795284628868103"
"269","0.18133755028247833","0.18133755028247833","0.18133755028247833"
"273","0.1931619495153427","0.1931619495153427","0.1931619495153427"
"277","0.19364012777805328","0.19364012777805328","0.19364012777805328"
"281","0.18445417284965515","0.18445417284965515","0.18445417284965515"
"285","0.18438297510147095","0.18438297510147095","0.18438297510147095"
"289","0.18675817549228668","0.18675817549228668","0.18675817549228668"
"293","0.19064733386039734","0.19064733386039734","0.19064733386039734"
"297","0.1832912117242813","0.1832912117242813","0.1832912117242813"
"301","0.18689197301864624","0.18689197301864624","0.18689197301864624"
"305","0.1936786025762558","0.1936786025762558","0.1936786025762558"
"309","0.1874835342168808","0.1874835342168808","0.1874835342168808"
"313","0.1808466762304306","0.1808466762304306","0.1808466762304306"
"317","0.18191824853420258","0.18191824853420258","0.18191824853420258"
"321","0.1836831420660019","0.1836831420660019","0.1836831420660019"
"325","0.17768628895282745","0.17768628895282745","0.17768628895282745"
"329","0.17908982932567596","0.17908982932567596","0.17908982932567596"
"333","0.18475747108459473","0.18475747108459473","0.18475747108459473"
"337","0.1813860386610031","0.1813860386610031","0.1813860386610031"
"341","0.17952053248882294","0.17952053248882294","0.17952053248882294"
"345","0.1751829832792282","0.1751829832792282","0.1751829832792282"
"349","0.18040655553340912","0.18040655553340912","0.18040655553340912"
"353","0.18275471031665802","0.18275471031665802","0.18275471031665802"
"357","0.17258378863334656","0.17258378863334656","0.17258378863334656"
"361","0.17672765254974365","0.17672765254974365","0.17672765254974365"
"365","0.17679913341999054","0.17679913341999054","0.17679913341999054"
"369","0.1788615882396698","0.1788615882396698","0.1788615882396698"
"373","0.16923223435878754","0.16923223435878754","0.16923223435878754"
"377","0.1718873381614685","0.1718873381614685","0.1718873381614685"
"381","0.16945156455039978","0.16945156455039978","0.16945156455039978"
"385","0.18236805498600006","0.18236805498600006","0.18236805498600006"
"389","0.17771200835704803","0.17771200835704803","0.17771200835704803"
"393","0.16738460958003998","0.16738460958003998","0.16738460958003998"
"397","0.17918983101844788","0.17918983101844788","0.17918983101844788"
"401","0.17174287140369415","0.17174287140369415","0.17174287140369415"
"405","0.16813626885414124","0.16813626885414124","0.16813626885414124"
"409","0.1800711750984192","0.1800711750984192","0.1800711750984192"
"413","0.16885575652122498","0.16885575652122498","0.16885575652122498"
"417","0.1647922247648239","0.1647922247648239","0.1647922247648239"
"421","0.17112675309181213","0.17112675309181213","0.17112675309181213"
"425","0.17494377493858337","0.17494377493858337","0.17494377493858337"
"429","0.1721906214952469","0.1721906214952469","0.1721906214952469"
"433","0.16847863793373108","0.16847863793373108","0.16847863793373108"
"437","0.16852964460849762","0.16852964460849762","0.16852964460849762"
"441","0.17340312898159027","0.17340312898159027","0.17340312898159027"
"445","0.17088298499584198","0.17088298499584198","0.17088298499584198"
"449","0.16932456195354462","0.16932456195354462","0.16932456195354462"
"453","0.16478554904460907","0.16478554904460907","0.16478554904460907"
"457","0.16569393873214722","0.16569393873214722","0.16569393873214722"
"461","0.16989225149154663","0.16989225149154663","0.16989225149154663"
"465","0.17121107876300812","0.17121107876300812","0.17121107876300812"
"469","0.16839437186717987","0.16839437186717987","0.16839437186717987"
"473","0.16780927777290344","0.16780927777290344","0.16780927777290344"
"477","0.16450440883636475","0.16450440883636475","0.16450440883636475"
"481","0.1603933870792389","0.1603933870792389","0.1603933870792389"
"485","0.16514316201210022","0.16514316201210022","0.16514316201210022"
"489","0.16342855989933014","0.16342855989933014","0.16342855989933014"
"493","0.15964478254318237","0.15964478254318237","0.15964478254318237"
"497","0.15771111845970154","0.15771111845970154","0.15771111845970154"
