"Step","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/IoU","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/IoU__MIN","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/IoU__MAX"
"2","0.4817691743373871","0.4817691743373871","0.4817691743373871"
"6","0.11610455811023712","0.11610455811023712","0.11610455811023712"
"10","0.5097655653953552","0.5097655653953552","0.5097655653953552"
"14","0.6498590111732483","0.6498590111732483","0.6498590111732483"
"18","0.6581864953041077","0.6581864953041077","0.6581864953041077"
"22","0.6397227644920349","0.6397227644920349","0.6397227644920349"
"26","0.7140856981277466","0.7140856981277466","0.7140856981277466"
"30","0.6338128447532654","0.6338128447532654","0.6338128447532654"
"34","0.7083849310874939","0.7083849310874939","0.7083849310874939"
"38","0.6863520741462708","0.6863520741462708","0.6863520741462708"
"42","0.6315838098526001","0.6315838098526001","0.6315838098526001"
"46","0.6867435574531555","0.6867435574531555","0.6867435574531555"
"50","0.7146369814872742","0.7146369814872742","0.7146369814872742"
"54","0.7343043684959412","0.7343043684959412","0.7343043684959412"
"58","0.7192548513412476","0.7192548513412476","0.7192548513412476"
"62","0.7005301117897034","0.7005301117897034","0.7005301117897034"
"66","0.753173291683197","0.753173291683197","0.753173291683197"
"70","0.37897637486457825","0.37897637486457825","0.37897637486457825"
"74","0.5318247079849243","0.5318247079849243","0.5318247079849243"
"78","0.6859028339385986","0.6859028339385986","0.6859028339385986"
"82","0.7708340883255005","0.7708340883255005","0.7708340883255005"
"86","0.5892120599746704","0.5892120599746704","0.5892120599746704"
"90","0.7998597025871277","0.7998597025871277","0.7998597025871277"
"94","0.7665412425994873","0.7665412425994873","0.7665412425994873"
"98","0.7748062014579773","0.7748062014579773","0.7748062014579773"
"102","0.7428159117698669","0.7428159117698669","0.7428159117698669"
"106","0.8122456073760986","0.8122456073760986","0.8122456073760986"
"110","0.8217021226882935","0.8217021226882935","0.8217021226882935"
"114","0.8533629775047302","0.8533629775047302","0.8533629775047302"
"118","0.8064067363739014","0.8064067363739014","0.8064067363739014"
"122","0.7597245573997498","0.7597245573997498","0.7597245573997498"
"126","0.8427377343177795","0.8427377343177795","0.8427377343177795"
"130","0.676409900188446","0.676409900188446","0.676409900188446"
"134","0.7971360683441162","0.7971360683441162","0.7971360683441162"
"138","0.8391599655151367","0.8391599655151367","0.8391599655151367"
"142","0.758404552936554","0.758404552936554","0.758404552936554"
"146","0.8573153018951416","0.8573153018951416","0.8573153018951416"
"150","0.7956504225730896","0.7956504225730896","0.7956504225730896"
"154","0.8402945399284363","0.8402945399284363","0.8402945399284363"
"158","0.8234500885009766","0.8234500885009766","0.8234500885009766"
"162","0.7781049013137817","0.7781049013137817","0.7781049013137817"
"166","0.7909095287322998","0.7909095287322998","0.7909095287322998"
"170","0.7970196604728699","0.7970196604728699","0.7970196604728699"
"174","0.8561854958534241","0.8561854958534241","0.8561854958534241"
"178","0.8706202507019043","0.8706202507019043","0.8706202507019043"
"182","0.7693221569061279","0.7693221569061279","0.7693221569061279"
"186","0.7537146806716919","0.7537146806716919","0.7537146806716919"
"190","0.8580317497253418","0.8580317497253418","0.8580317497253418"
"194","0.8042826652526855","0.8042826652526855","0.8042826652526855"
"198","0.8564561605453491","0.8564561605453491","0.8564561605453491"
"202","0.8536563515663147","0.8536563515663147","0.8536563515663147"
"206","0.835900068283081","0.835900068283081","0.835900068283081"
"210","0.8298214673995972","0.8298214673995972","0.8298214673995972"
"214","0.8337011337280273","0.8337011337280273","0.8337011337280273"
"218","0.8489833474159241","0.8489833474159241","0.8489833474159241"
"222","0.7942777872085571","0.7942777872085571","0.7942777872085571"
"226","0.8003227710723877","0.8003227710723877","0.8003227710723877"
"230","0.42578643560409546","0.42578643560409546","0.42578643560409546"
"234","0.7645453214645386","0.7645453214645386","0.7645453214645386"
"238","0.7771967649459839","0.7771967649459839","0.7771967649459839"
"242","0.856052577495575","0.856052577495575","0.856052577495575"
"246","0.8281342387199402","0.8281342387199402","0.8281342387199402"
"250","0.8532524704933167","0.8532524704933167","0.8532524704933167"
"254","0.8558385968208313","0.8558385968208313","0.8558385968208313"
"258","0.8084025382995605","0.8084025382995605","0.8084025382995605"
