"Step","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/IoU","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/IoU__MIN","Unet-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/IoU__MAX"
"262","0.8643806576728821","0.8643806576728821","0.8643806576728821"
"266","0.8636462688446045","0.8636462688446045","0.8636462688446045"
"270","0.8550995588302612","0.8550995588302612","0.8550995588302612"
"274","0.8502747416496277","0.8502747416496277","0.8502747416496277"
"278","0.8659886121749878","0.8659886121749878","0.8659886121749878"
"282","0.8324227929115295","0.8324227929115295","0.8324227929115295"
"286","0.8387880921363831","0.8387880921363831","0.8387880921363831"
"290","0.8303549885749817","0.8303549885749817","0.8303549885749817"
"294","0.8293615579605103","0.8293615579605103","0.8293615579605103"
"298","0.8491777777671814","0.8491777777671814","0.8491777777671814"
"302","0.8104020953178406","0.8104020953178406","0.8104020953178406"
"306","0.8638335466384888","0.8638335466384888","0.8638335466384888"
"310","0.8590965867042542","0.8590965867042542","0.8590965867042542"
"314","0.8832586407661438","0.8832586407661438","0.8832586407661438"
"318","0.8288989663124084","0.8288989663124084","0.8288989663124084"
"322","0.8443441987037659","0.8443441987037659","0.8443441987037659"
"326","0.8594468832015991","0.8594468832015991","0.8594468832015991"
"330","0.8699951767921448","0.8699951767921448","0.8699951767921448"
"334","0.8434941172599792","0.8434941172599792","0.8434941172599792"
"338","0.8470838665962219","0.8470838665962219","0.8470838665962219"
"342","0.8780614137649536","0.8780614137649536","0.8780614137649536"
"346","0.8851621747016907","0.8851621747016907","0.8851621747016907"
"350","0.8521085977554321","0.8521085977554321","0.8521085977554321"
"354","0.8829185366630554","0.8829185366630554","0.8829185366630554"
"358","0.889601469039917","0.889601469039917","0.889601469039917"
"362","0.8305777907371521","0.8305777907371521","0.8305777907371521"
"366","0.8703160881996155","0.8703160881996155","0.8703160881996155"
"370","0.8450853824615479","0.8450853824615479","0.8450853824615479"
"374","0.8701967597007751","0.8701967597007751","0.8701967597007751"
"378","0.8854737281799316","0.8854737281799316","0.8854737281799316"
"382","0.866490364074707","0.866490364074707","0.866490364074707"
"386","0.8840878009796143","0.8840878009796143","0.8840878009796143"
"390","0.8667874932289124","0.8667874932289124","0.8667874932289124"
"394","0.8019340634346008","0.8019340634346008","0.8019340634346008"
"398","0.8702056407928467","0.8702056407928467","0.8702056407928467"
"402","0.8090149164199829","0.8090149164199829","0.8090149164199829"
"406","0.8727338910102844","0.8727338910102844","0.8727338910102844"
"410","0.829897940158844","0.829897940158844","0.829897940158844"
"414","0.8675170540809631","0.8675170540809631","0.8675170540809631"
"418","0.8701079487800598","0.8701079487800598","0.8701079487800598"
"422","0.8879337906837463","0.8879337906837463","0.8879337906837463"
"426","0.811299204826355","0.811299204826355","0.811299204826355"
"430","0.8580365777015686","0.8580365777015686","0.8580365777015686"
"434","0.8737455606460571","0.8737455606460571","0.8737455606460571"
"438","0.8806764483451843","0.8806764483451843","0.8806764483451843"
"442","0.8760415315628052","0.8760415315628052","0.8760415315628052"
"446","0.8705533146858215","0.8705533146858215","0.8705533146858215"
"450","0.871117889881134","0.871117889881134","0.871117889881134"
"454","0.8881785273551941","0.8881785273551941","0.8881785273551941"
"458","0.8668148517608643","0.8668148517608643","0.8668148517608643"
"462","0.8663827776908875","0.8663827776908875","0.8663827776908875"
"466","0.6051105856895447","0.6051105856895447","0.6051105856895447"
"470","0.8614195585250854","0.8614195585250854","0.8614195585250854"
"474","0.8459068536758423","0.8459068536758423","0.8459068536758423"
"478","0.8776111006736755","0.8776111006736755","0.8776111006736755"
"482","0.8794130682945251","0.8794130682945251","0.8794130682945251"
"486","0.8643696308135986","0.8643696308135986","0.8643696308135986"
"490","0.886015772819519","0.886015772819519","0.886015772819519"
"494","0.8857156038284302","0.8857156038284302","0.8857156038284302"
"498","0.8584181666374207","0.8584181666374207","0.8584181666374207"
