"Step","FPN-NET_b32_e500_p35_lr0.001_i3_o2.pth - train_epoch/loss","FPN-NET_b32_e500_p35_lr0.001_i3_o2.pth - train_epoch/loss__MIN","FPN-NET_b32_e500_p35_lr0.001_i3_o2.pth - train_epoch/loss__MAX"
"1","0.6868114471435547","0.6868114471435547","0.6868114471435547"
"5","0.6359429359436035","0.6359429359436035","0.6359429359436035"
"9","0.5682135820388794","0.5682135820388794","0.5682135820388794"
"13","0.5162646174430847","0.5162646174430847","0.5162646174430847"
"17","0.5027507543563843","0.5027507543563843","0.5027507543563843"
"21","0.47178107500076294","0.47178107500076294","0.47178107500076294"
"25","0.46928152441978455","0.46928152441978455","0.46928152441978455"
"29","0.47440797090530396","0.47440797090530396","0.47440797090530396"
"33","0.4579705595970154","0.4579705595970154","0.4579705595970154"
"37","0.46314191818237305","0.46314191818237305","0.46314191818237305"
"41","0.45014488697052","0.45014488697052","0.45014488697052"
"45","0.4397125244140625","0.4397125244140625","0.4397125244140625"
"49","0.4367139935493469","0.4367139935493469","0.4367139935493469"
"53","0.4306162893772125","0.4306162893772125","0.4306162893772125"
"57","0.43621644377708435","0.43621644377708435","0.43621644377708435"
"61","0.4287172555923462","0.4287172555923462","0.4287172555923462"
"65","0.4251391291618347","0.4251391291618347","0.4251391291618347"
"69","0.42139992117881775","0.42139992117881775","0.42139992117881775"
"73","0.41865450143814087","0.41865450143814087","0.41865450143814087"
"77","0.42612192034721375","0.42612192034721375","0.42612192034721375"
"81","0.4282650649547577","0.4282650649547577","0.4282650649547577"
"85","0.41529226303100586","0.41529226303100586","0.41529226303100586"
"89","0.41320812702178955","0.41320812702178955","0.41320812702178955"
"93","0.41211026906967163","0.41211026906967163","0.41211026906967163"
"97","0.40726184844970703","0.40726184844970703","0.40726184844970703"
"101","0.41387319564819336","0.41387319564819336","0.41387319564819336"
"105","0.4132392704486847","0.4132392704486847","0.4132392704486847"
"109","0.40510863065719604","0.40510863065719604","0.40510863065719604"
"113","0.40085914731025696","0.40085914731025696","0.40085914731025696"
"117","0.40128275752067566","0.40128275752067566","0.40128275752067566"
"121","0.4033812880516052","0.4033812880516052","0.4033812880516052"
"125","0.4041089117527008","0.4041089117527008","0.4041089117527008"
"129","0.4001219868659973","0.4001219868659973","0.4001219868659973"
"133","0.3967275619506836","0.3967275619506836","0.3967275619506836"
"137","0.40141284465789795","0.40141284465789795","0.40141284465789795"
"141","0.4008547365665436","0.4008547365665436","0.4008547365665436"
"145","0.39898282289505005","0.39898282289505005","0.39898282289505005"
"149","0.39511412382125854","0.39511412382125854","0.39511412382125854"
"153","0.39899078011512756","0.39899078011512756","0.39899078011512756"
"157","0.39386868476867676","0.39386868476867676","0.39386868476867676"
