"Step","FPN-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/IoU","FPN-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/IoU__MIN","FPN-NET_b32_e500_p35_lr0.001_i3_o2.pth - valid_epoch/IoU__MAX"
"2","0.16035906970500946","0.16035906970500946","0.16035906970500946"
"6","0.31396934390068054","0.31396934390068054","0.31396934390068054"
"10","0.47354233264923096","0.47354233264923096","0.47354233264923096"
"14","0.650609016418457","0.650609016418457","0.650609016418457"
"18","0.6433921456336975","0.6433921456336975","0.6433921456336975"
"22","0.6442064046859741","0.6442064046859741","0.6442064046859741"
"26","0.39120104908943176","0.39120104908943176","0.39120104908943176"
"30","0.3510790467262268","0.3510790467262268","0.3510790467262268"
"34","0.5508036613464355","0.5508036613464355","0.5508036613464355"
"38","0.638843834400177","0.638843834400177","0.638843834400177"
"42","0.7240788340568542","0.7240788340568542","0.7240788340568542"
"46","0.7325609922409058","0.7325609922409058","0.7325609922409058"
"50","0.712992250919342","0.712992250919342","0.712992250919342"
"54","0.7020244002342224","0.7020244002342224","0.7020244002342224"
"58","0.6681942343711853","0.6681942343711853","0.6681942343711853"
"62","0.7494276165962219","0.7494276165962219","0.7494276165962219"
"66","0.6568019390106201","0.6568019390106201","0.6568019390106201"
"70","0.6387448310852051","0.6387448310852051","0.6387448310852051"
"74","0.35461315512657166","0.35461315512657166","0.35461315512657166"
"78","0.622529923915863","0.622529923915863","0.622529923915863"
"82","0.6171521544456482","0.6171521544456482","0.6171521544456482"
"86","0.6824774146080017","0.6824774146080017","0.6824774146080017"
"90","0.7293693423271179","0.7293693423271179","0.7293693423271179"
"94","0.3211345672607422","0.3211345672607422","0.3211345672607422"
"98","0.730775773525238","0.730775773525238","0.730775773525238"
"102","0.2763431966304779","0.2763431966304779","0.2763431966304779"
"106","0.800916850566864","0.800916850566864","0.800916850566864"
"110","0.5020341873168945","0.5020341873168945","0.5020341873168945"
"114","0.8499359488487244","0.8499359488487244","0.8499359488487244"
"118","0.8292345404624939","0.8292345404624939","0.8292345404624939"
"122","0.8010695576667786","0.8010695576667786","0.8010695576667786"
"126","0.7875675559043884","0.7875675559043884","0.7875675559043884"
"130","0.2274918258190155","0.2274918258190155","0.2274918258190155"
"134","0.7093622088432312","0.7093622088432312","0.7093622088432312"
"138","0.8386102914810181","0.8386102914810181","0.8386102914810181"
"142","0.825526773929596","0.825526773929596","0.825526773929596"
"146","0.8372424840927124","0.8372424840927124","0.8372424840927124"
"150","0.7269960045814514","0.7269960045814514","0.7269960045814514"
"154","0.850396454334259","0.850396454334259","0.850396454334259"
"158","0.8560025691986084","0.8560025691986084","0.8560025691986084"
"162","0.8434576392173767","0.8434576392173767","0.8434576392173767"
"166","0.7371353507041931","0.7371353507041931","0.7371353507041931"
"170","0.8294113874435425","0.8294113874435425","0.8294113874435425"
"174","0.8308835625648499","0.8308835625648499","0.8308835625648499"
"178","0.8647854328155518","0.8647854328155518","0.8647854328155518"
"182","0.8576260805130005","0.8576260805130005","0.8576260805130005"
"186","0.8559645414352417","0.8559645414352417","0.8559645414352417"
"190","0.519132137298584","0.519132137298584","0.519132137298584"
"194","0.836895763874054","0.836895763874054","0.836895763874054"
"198","0.8740735650062561","0.8740735650062561","0.8740735650062561"
"202","0.7759833931922913","0.7759833931922913","0.7759833931922913"
"206","0.8674968481063843","0.8674968481063843","0.8674968481063843"
"210","0.8796398639678955","0.8796398639678955","0.8796398639678955"
"214","0.8712282776832581","0.8712282776832581","0.8712282776832581"
"218","0.8455080986022949","0.8455080986022949","0.8455080986022949"
"222","0.8641795516014099","0.8641795516014099","0.8641795516014099"
"226","0.8607714176177979","0.8607714176177979","0.8607714176177979"
"230","0.8618564605712891","0.8618564605712891","0.8618564605712891"
"234","0.6142117381095886","0.6142117381095886","0.6142117381095886"
"238","0.6131024956703186","0.6131024956703186","0.6131024956703186"
"242","0.8146026730537415","0.8146026730537415","0.8146026730537415"
"246","0.870297908782959","0.870297908782959","0.870297908782959"
"250","0.8788709044456482","0.8788709044456482","0.8788709044456482"
"254","0.8696804642677307","0.8696804642677307","0.8696804642677307"
"258","0.8090737462043762","0.8090737462043762","0.8090737462043762"
"262","0.8687121272087097","0.8687121272087097","0.8687121272087097"
"266","0.8645915985107422","0.8645915985107422","0.8645915985107422"
"270","0.8498987555503845","0.8498987555503845","0.8498987555503845"
"274","0.8557433485984802","0.8557433485984802","0.8557433485984802"
"278","0.8678483366966248","0.8678483366966248","0.8678483366966248"
"282","0.8675466179847717","0.8675466179847717","0.8675466179847717"
"286","0.8765880465507507","0.8765880465507507","0.8765880465507507"
"290","0.8734923005104065","0.8734923005104065","0.8734923005104065"
"294","0.8540987968444824","0.8540987968444824","0.8540987968444824"
"298","0.8322458863258362","0.8322458863258362","0.8322458863258362"
"302","0.8771618008613586","0.8771618008613586","0.8771618008613586"
"306","0.3474884331226349","0.3474884331226349","0.3474884331226349"
